author_id,Name
148,Donna Tartt
149,Jay Asher
150,Tracy Chevalier
151,Gayle Forman
152,Anita Diamant
153,Emily Giffin
154,Dr. Seuss
155,לאה נאור
156,Roald Dahl
157,Quentin Blake
158,Albert Camus
159,Matthew    Ward
160,Rainbow Rowell
161,Ally Condie
162,Neil Gaiman
163,Bernie Wrightson
164,Fiona Stafford
165,Leo Tolstoy
166,Louise Maude
167,Leo Tolstoj
168,Aylmer Maude
169,Anthony Burgess
170,William Paul Young
171,Fyodor Dostoyevsky
172,David McDuff
173,Sylvia Plath
174,Frank McCourt
175,Hermann Hesse
176,Hilda Rosner
177,Truman Capote
178,Kami Garcia
179,Margaret Stohl
180,Erin Morgenstern
181,Philippa Gregory
182,Scott Westerfeld
183,Cheryl Strayed
184,Alan Moore
185,Dave Gibbons
186,John Higgins
187,Patrick Rothfuss
188,Herman Melville
189,Andrew Delbanco
190,Tom Quirk
191,Mary Ann Shaffer
192,Annie Barrows
193,Chuck Palahniuk
194,Charlaine Harris
195,Alice Walker
196,John Grogan
197,Agatha Christie
198,Becca Fitzpatrick
199,Jamie McGuire
200,Anne Rice
201,Kiera Cass
202,Janet Evanovich
203,Rebecca Skloot
204,Thomas Harris
205,Richelle Mead
206,Ian McEwan
207,Franz Kafka
208,Stanley Corngold
209,Ernest Cline
210,Garth Stein
211,Erik Larson
212,Tony Goldwyn
213,Sylvia Day
214,Pauline Baynes
215,Dave Pelzer
216,Robert Ludlum
217,Eoin Colfer
218,Lauren Kate
219,Emma McLaughlin
220,Nicola Kraus
221,Lewis Carroll
222,John Tenniel
223,Martin Gardner
224,James Kinsley
225,Deidre Shauna Lynch
226,Tatiana de Rosnay
227,Edith Grossman
228,Laurie Halse Anderson
229,Liane Moriarty
230,Augusten Burroughs
231,Max Brooks
232,James Patterson
233,Katherine Paterson
234,P.C. Cast
235,Kristin Cast
236,Stephen R. Covey
237,Barbara A. Mowat
238,Paul Werstine
239,Catherine Belsey
240,Jonathan Safran Foer
241,R.J. Palacio
242,Marissa Meyer
243,Robert Galbraith
244,Maggie Stiefvater
245,Ayn Rand
246,Leonard Peikoff
247,Greg Mortenson
248,David Oliver Relin
249,Jane Carruth
250,Rene Cloke
251,Carlos Ruiz Zafón
252,Lucia Graves
253,Frances Mayes
254,Gail Carson Levine
255,Betty  Smith
256,Kristin Hannah
257,Kazuo Ishiguro
258,Cecelia Ahern
259,Daphne du Maurier
260,Sally Beauman
261,Daniel Keyes
262,Laura Esquivel
263,Thomas  Christensen
264,Carol Christensen
265,Lisa See
266,Mario Puzo
267,Robert Thompson
268,Peter Bart
269,Isaac Asimov
270,John Tiffany
271,Jack Thorne
272,Lauren Oliver
273,Terry Pratchett
274,Jack Kerouac
275,Graeme Simsion
276,Tom Clancy
277,Richard Adams
278,Mindy Kaling
279,Abraham Verghese
280,Robert Louis Stevenson
281,Eric Carle
282,H.G. Wells
283,Greg Bear
284,Carlo Pagetti
285,Todd Burpo
286,Lynn Vincent
287,John Boyne
288,Joseph Conrad
289,Rhonda Byrne
290,Wally Lamb
291,Jennifer Weiner
292,Colleen McCullough
293,Dave McKean
294,M.L. Stedman
295,Cornelia Funke
296,Anthea Bell
297,Spencer Johnson
298,Kenneth H. Blanchard
299,Bill Bryson
300,Maya Angelou
301,Christina Baker Kline
302,Maria Semple
303,Wilson Rawls
304,Milan Kundera
305,Michael Henry Heim
306,John Irving
307,Janet Fitch
308,Marie Lu
309,Randy Pausch
310,Jeffrey Zaslow
311,Robert Jordan
312,Lisa Genova
313,David Nicholls
314,Margaret Wise Brown
315,Clement Hurd
316,Homer
317,Robert Fagles
318,Frédéric Mugler
319,Bernard Knox
320,L. Frank Baum
321,W.W. Denslow
322,E. Lockhart
323,Hunter S. Thompson
324,Ralph Steadman
325,Amy Poehler
326,Toni Morrison
327,Kristin Cashore
328,Lemony Snicket
329,Brett Helquist
330,Erich Maria Remarque
331,A.W. Wheen
332,Philip K. Dick
333,Roger Zelazny
334,George Cruikshank
335,Philip Horne
336,David   Lloyd
337,David McCullough
338,Dean Koontz
339,Jerry Spinelli
340,Robert A. Heinlein
341,Jack London
342,Jhumpa Lahiri
343,Deborah Harkness
344,Haruki Murakami
345,Jay Rubin
346,Billie Letts
347,David Levithan
348,James Frey
349,Susan Cain
350,Scott O'Dell
351,Arthur Miller
352,Christopher Bigsby
353,Gary Paulsen
354,Brandon Sanderson
355,Mervyn Peake
356,Dan Chaon
357,Jeff Kinney
358,Sarah J. Maas
359,Jamie Ford
360,Patrick Süskind
361,John E. Woods
362,Eric Schlosser
363,William Gibson
364,Sun Tzu
365,Thomas Cleary
366,William Landay
367,Betty Edwards
368,Ann Patchett
369,Jared Diamond
370,Fannie Flagg
371,Chinua Achebe
372,Gary Chapman
373,Chris Cleave
374,Alyson Noel
375,Diane Setterfield
376,Paula McLain
377,Umberto Eco
378,William Weaver
379,Seán Barrett
380,Beatrice Sparks
381,Anonymous
382,John Kennedy Toole
383,Walker Percy
384,Philip Gabriel
385,J.R. Ward
386,Arundhati Roy
387,Stephen Hawking
388,Cao Chi
389,Phạm Văn Thiều
390,Neal Stephenson
391,Sarah Dessen
392,A.A. Milne
393,Ernest H. Shepard
394,S.J. Watson
395,Arthur Conan Doyle
396,Rick Warren
397,Jim Butcher
398,Alfred MacAdam
399,Rick Yancey
400,Charles Frazier
401,Laura Joffe Numeroff
402,Felicia Bond
403,Tennessee Williams
404,Elizabeth Kostova
405,Emily St. John Mandel
406,Fredrik Backman
407,Henning Koch
408,Pearl S. Buck
409,John Berger
410,Chuck Dixon
411,David Wenzel
412,Sean Deming
413,Junot Díaz
414,Zora Neale Hurston
415,Newt Scamander
416,Albus Dumbledore
417,Malala Yousafzai
418,Christina Lamb
419,Kathryn Sutherland
420,Claire Lamont
421,Viktor E. Frankl
422,Tana French
423,Richard Dawkins
424,Lee Child
425,Daniel Defoe
426,Gerald McCann
427,Virginia Woolf
428,Niccolò Machiavelli
429,Adolph Caso
430,Rufus Goodwin
431,Benjamin Martinez
432,Terry Goodkind
433,Kathleen Grissom
434,Richard Pevear
435,Larissa Volokhonsky
436,Jeanne DuPrau
437,Kahlil Gibran
438,Art Spiegelman
439,Dave Eggers
440,Jean M. Auel
441,Anna Sewell
442,Henry Gifford
443,Bret Easton Ellis
444,Meg Cabot
445,Alexander McCall Smith
446,Robert Kirkman
447,Tony Moore
448,Arthur C. Clarke
449,Francine Rivers
450,Tim LaHaye
451,Jerry B. Jenkins
452,Barbara Ehrenreich
453,Patricia Cornwell
454,Edgar Allan Poe
455,Corrie ten Boom
456,John Sherrill
457,Elizabeth Sherrill
458,Pat Conroy
459,Michael Chabon
460,Simone Elkeles
461,J.M. Barrie
462,Michael Hague
463,Michael Connelly
464,David Mitchell
465,Tim O'Brien
466,Banksy
467,Jeff Lindsay
468,Jonathan Swift
469,Robert DeMaria Jr.
470,Gail Kern Paster
471,Robert          Jackson
472,Unknown
473,Seamus Heaney
474,Frank Miller
475,David Mazzucchelli
476,Richmond Lewis
477,Dennis O'Neil
478,Laini Taylor
479,Victoria Aveyard
480,Charles Duhigg
481,John Berendt
482,Colleen Hoover
483,Nancy Bond
484,Laura Ingalls Wilder
485,Margery Williams Bianco
486,William   Nicholson
487,Robert M. Pirsig
488,Sara Shepard
489,Don Freeman
490,Kate Atkinson
491,Kenneth Branagh
492,Thomas Hardy
493,Tim Dolin
494,Margaret R. Higonnet
495,Gustave Flaubert
496,Margaret Mauldon
497,Malcolm Bowie
498,Mark Overstall
499,Norton Juster
500,Jules Feiffer
501,Ned Vizzini
502,Vanessa Diffenbaugh
503,Klaus Janson
504,Lynn Varley
505,Nick Hornby
506,John Gray
507,Anthony Bourdain
508,Voltaire
509,Natalie Babbitt
510,Marie Milpois
511,P.D. Eastman
512,E.H. Gombrich
513,Robert T. Kiyosaki
514,Lev Grossman
515,Tsugumi Ohba
516,Takeshi Obata
517,Libba Bray
518,Tammara Webber
519,Jeremy Tambling
520,Sherman Alexie
521,Ellen Forney
522,Mikhail Bulgakov
523,Katherine Tiernan O'Connor
524,Diana Burgin
525,Ellendea Proffer
526,Ursula K. Le Guin
527,Kate DiCamillo
528,Chris Sheban
529,John Knowles
530,Miguel de Cervantes Saavedra
531,Roberto González Echevarría
532,John Rutherford
533,Robin Hobb
534,Beatrix Potter
535,Susanna Kaysen
536,Chelsea Handler
537,Richard Bach
538,Russell Munson
539,Robert Munsch
540,Sheila McGraw
541,Daniel James Brown
542,Christopher Tolkien
543,Ted Nasmith
544,Kate Morton
545,Edwin Muir
546,Willa Muir
547,Max Brod
548,Piper Kerman
549,Anne Perry
550,Daniel Kahneman
551,Marion Zimmer Bradley
552,Judy Blume
553,Chris Bohjalian
554,Chris Van Allsburg
555,Jon Scieszka
556,Lane Smith
557,Margaret Jull Costa
558,Sheryl Sandberg
559,Nell Scovell
560,Tahereh Mafi
561,Jostein Gaarder
562,Paulette Møller
563,Mark Cotta Vaz
564,Jennifer Egan
565,Johanna Spyri
566,Angelo  Rinaldi
567,Beverly Cleary
568,Alex Flinn
569,Geoffrey Chaucer
570,Nevill Coghill
571,Harriet Beecher Stowe
572,Gaston Leroux
573,Alexander Teixeira de Mattos
574,José Saramago
575,Giovanni Pontiero
576,Jonathan Franzen
577,Ally Carter
578,Aravind Adiga
579,Barack Obama
580,Judith Viorst
581,Ray Cruz
582,Howard Zinn
583,Justin Cronin
584,Celeste Ng
585,Isabel Allende
586,Magda Bogin
587,Ροζίτα Σώκου
588,Chimamanda Ngozi Adichie
589,Christopher McDougall
590,Gabrielle Zevin
591,Ludwig Bemelmans
592,Napoleon Hill
593,Susanna Clarke
594,Jess Walter
595,Matthew Quick
596,Jules Verne
597,Anthony Bonner
598,Maureen Howard
599,Jonas Jonasson
600,Rod Bradbury
601,Michael Glencross
602,Brian W. Aldiss
603,Sharon Creech
604,Julie Powell
605,Neal Shusterman
606,Kate Egan
607,William Faulkner
608,Eckhart Tolle
609,Tite Kubo
610,Allie Brosh
611,Gregory David Roberts
612,Ned Dameron
613,Jeffery Deaver
614,Bernhard Schlink
615,Carol Brown Janeway
616,Bill Martin Jr.
617,Dan Simmons
618,William Peter Blatty
619,David Guterson
620,Alex Haley
621,Brian Bolland
622,Tim Sale
623,Ralph Ellison
624,Ishmael Beah
625,Robert C. O'Brien
626,Melissa Bank
627,Hugh Howey
628,Christopher Moore
629,Jenny  Lawson
630,Scott Lynch
631,Garth Nix
632,Jennifer L. Armentrout
633,Bryan Lee O'Malley
634,Julie Kagawa
635,Larry McMurtry
636,Mary Roach
637,Thomas Keneally
638,Malcolm X
639,Sam Kieth
640,Mike Dringenberg
641,Malcolm Jones III
642,Todd Klein
643,Karen  Berger
644,Plato
645,Desmond Lee
646,Patti Smith
647,Jane Green
648,Walter J. Cobb
649,Rohinton Mistry
650,Bill Watterson
651,G.B. Trudeau
652,Kate Chopin
653,Justin Halpern
654,Irvine Welsh
655,Eric Lindor Fall
656,Miguel Ruiz
657,Jacob Grimm
658,Wilhelm Grimm
659,Josef Scharl
660,Padraic Colum
661,Joseph Campbell
662,Margaret Raine Hunt
663,James Stern
664,E.L. Konigsburg
665,Samantha Young
666,Francis Chan
667,Danae Yankoski
668,Chris Tomlin
669,Helen Keller
670,Jonathan Tropper
671,Seth Grahame-Smith
672,Natsuki Takaya
673,Alethea Nibley
674,Athena Nibley
675,Brian Selznick
676,Christopher Hitchens
677,Bisco Hatori
678,Mary Kubica
679,Abbi Glines
680,Hilary Mantel
681,Diana Wynne Jones
682,William Olivier Desmond
683,Henry David Thoreau
684,Sophocles
685,J.E. Thomas
686,Kenneth Grahame
687,Gillian Avery
688,Jenny Han
689,Marjane Satrapi
690,Mattias Ripa
691,E.M. Forster
692,Kody Keplinger
693,J.D. Robb
694,Masashi Kishimoto
695,Katy Bridges
696,Rachel Joyce
697,James Clavell
698,Raina Telgemeier
699,Jacquelyn Mitchard
700,Louise Rennison
701,Robin Sloan
702,V.C. Andrews
703,Paul Kalanithi
704,Ellen Raskin
705,Pierce Brown
706,Brent Weeks
707,Sam McBratney
708,Anita Jeram
709,John D. MacDonald
710,Peter Benchley
711,Nicole Krauss
712,Astrid Lindgren
713,Lauren Child
714,Florence Lamborn
715,Nancy Seligsohn
716,Muriel Barbery
717,Alison Anderson
718,Doris Kearns Goodwin
719,Suzanne Toren
720,Stuart Gilbert
721,Susannah Cahalan
722,Melissa Marr
723,H.A. Rey
724,Michael Ende
725,Ralph Manheim
726,Roswitha Quadflieg
727,Sylvia Nasar
728,Upton Sinclair
729,Earl Lee
730,Kathleen DeGrave
731,Kelley Armstrong
732,Oliver Sacks
733,Andre Dubus III
734,M.R. Carey
735,Crockett Johnson
736,Hiromu Arakawa
737,Akira Watanabe
738,Joan Didion
739,Lionel Shriver
740,Edith Wharton
741,Geraldine Brooks
742,Sylvain Reynard
743,Judi Barrett
744,Ron Barrett
745,Helen Simonson
746,Nora Roberts
747,John Scalzi
748,Irma S. Rombauer
749,Marion Rombauer Becker
750,Ethan Becker
751,Joe Haldeman
752,Bettina Blanch Tyroller
753,Azar Nafisi
754,Joe Abercrombie
755,Annie Proulx
756,Marie Kondō
757,Cathy Hirano
758,Jennifer Niven
759,فرانک معنوی
760,Kathy Reichs
761,Michael Scott
762,Jessica Knoll
763,Ellen Hopkins
764,Richard Matheson
765,Elizabeth Strout
766,Lena Dunham
767,Joana Avillez
768,James C. Collins
769,Samuel Beckett
770,J.A. Redmerski
771,Kimberly McCreight
772,Michael Cunningham
773,Alice Clayton
774,Susan Ee
775,Richard Russo
776,Jandy Nelson
777,Catherine Hardwicke
778,Richard Feynman
779,James Joyce
780,Seamus Deane
781,George Eliot
782,Michel Faber
783,S.C. Stephens
784,Stacy Schiff
785,Thomas L. Friedman
786,Marcus Pfister
787,J. Alison James
788,Gretchen Rubin
789,Vincent Bugliosi
790,Curt Gentry
791,Robert Kapilow
792,Dante Alighieri
793,Anthony M. Esolen
794,Patricia Briggs
795,Melissa de la Cruz
796,Caleb Carr
797,Ta-Nehisi Coates
798,John Milton
799,John      Leonard
800,Michael   Lewis
801,Patrick Ness
802,Jim Kay
803,Siobhan Dowd
804,Frederick Forsyth
805,Jason Fried
806,David Heinemeier Hansson
807,Ilyana Kadushin
808,Matt Walters
809,Carol Rifka Brunt
810,James Herriot
811,Michelle Hodkin
812,Emmuska Orczy
813,Jon Stone
814,Michael J. Smollin
815,Leigh Bardugo
816,Herman Koch
817,Sam Garrett
818,Carl Sagan
819,Stephanie Perkins
820,Zadie Smith
821,Chris Kyle
822,Scott McEwen
823,Jim DeFelice
824,Pittacus Lore
825,Meg Wolitzer
826,Better Homes and Gardens
827,Tess Gerritsen
828,Timothy Basil Ering
829,Steven L. Hopp
830,Camille Kingsolver
831,Richard A. Houser
832,Alan Bradley
833,Donald Miller
834,Brian K. Vaughan
835,Fiona Staples
836,Chad Harbach
837,Brandon Mull
838,Mildred D. Taylor
839,Constance Garnett
840,Alan Myers
841,Joseph Frank
842,Anna Brailovsky
843,Aziz Ansari
844,Eric Klinenberg
845,Katherine Applegate
846,Patricia Castelao
847,Sebastian Junger
848,Jim Fergus
849,Darrel Anderson
850,Salman Rushdie
851,Margaret Peterson Haddix
852,Michael Pollan
853,Elizabeth George Speare
854,Wilkie Collins
855,Matthew Sweet
856,James McBride
857,Karen Marie Moning
858,William Makepeace Thackeray
859,John Carey
860,Dominique Dill
861,Cynthia D'Aprix Sweeney
862,Bill Willingham
863,Lan Medina
864,Steve Leialoha
865,Craig Hamilton
866,James Jean
867,David    Allen
868,James Redfield
869,Huntley Fitzpatrick
870,Chetan Bhagat
871,Laurell K. Hamilton
872,Rosemarie Morgan
873,Shannon Russell
874,Mark Z. Danielewski
875,Willa Cather
876,Susan Beth Pfeffer
877,Jon Stewart
878,Ben Karlin
879,David Javerbaum
880,Rich Bloomquist
881,Steve Bodow
882,Tim Carvell
883,Eric Drysdale
884,J.R. Havlan
885,Scott Jacobson
886,Tom Johnson
887,Rob Kutner
888,Chris Regan
889,Jason Reich
890,Jason Ross
891,Stephen Colbert
892,Samantha Bee
893,Rob Corddry
894,Brendan Hay
895,Ed Helms
896,Lao Tzu
897,Gia-Fu Feng
898,Jane English
899,Chungliang Al Huang
900,Rowena Pattee Kryder
901,Toinette Lippe
902,Jeffrey Archer
903,Hans Christian Andersen
904,Lily Owens
905,Arthur Rackham
906,Hans Richter
907,Friedrich Nietzsche
908,Walter Kaufmann
909,Elizabeth Gaskell
910,Alan Shelston
911,Jaycee Dugard
912,Amish Tripathi
913,Aesop
914,Laura Harris
915,Laura Gibbs
916,Anne McCaffrey
917,Teodor Panasiński
918,John D. Rateliff
919,Joanne Harris
920,Jay Anson
921,Jeri Johnson
922,Colum McCann
923,Harlan Coben
924,Rachel Hawkins
925,Austin Kleon
926,Christina Lauren
927,Joyce Carol Oates
928,Scott McCloud
929,Jon Ronson
930,David Baldacci
931,Jonathan Stroud
932,Richard Dahm
933,Paul Dinello
934,Allison Silverman
935,Michael Brumm
936,Eric Drydale
937,Rob Dubbin
938,Glenn Eichler
939,Peter Grosz
940,Peter Gwinn
941,Jay Katsir
942,Laura Krafft
943,Frank Lesser
944,Tom Purcell
945,Leon Uris
946,Ursula Hegi
947,Raymond Chandler
948,Ellen DeGeneres
949,Eowyn Ivey
950,J. Lynn
951,Allen Mandelbaum
952,Eugenio Montale
953,Benjamin Hoff
954,Sarah Dunant
955,David Lagercrantz
956,George Goulding
957,Emma Cline
958,Shannon Hale
959,Dennis Lehane
960,Isaac Marion
961,Everett H. Emerson
962,Elif Shafak
963,إليف شافاق
964,ارسلان فصیحی
965,محمد درويش
966,Hajime Isayama
967,Sheldon Drzka
968,Olive Ann Burns
969,Elena Ferrante
970,Ann Goldstein
971,Timothy Ferriss
972,Robin S. Sharma
973,Amor Towles
974,Larry Niven
975,Ruta Sepetys
976,Andrew Clements
977,Louise Erdrich
978,Hanya Yanagihara
979,Pia Guerra
980,José Marzán Jr.
981,Anne Tyler
982,Jennifer Bassett
983,Benjamin Alire Sáenz
984,Alfred Birnbaum
985,Johann David Wyss
986,Scott McKowen
987,Arthur Pober
988,Jennifer Probst
989,Watty Piper
990,Doris Hauman
991,George Hauman
992,Karen Joy Fowler
993,Alan Brennert
994,Frank E. Peretti
995,Jessica Sorensen
996,Lauren Groff
997,Brian Greene
998,Janell Cannon
999,Nancy Horan
1000,Lorelei King
1001,Flora Rheta Schreiber
1002,Rosamunde Pilcher
1003,Ronald Holt
1004,Bill O'Reilly
1005,Martin Dugard
1006,John Flanagan
1007,Ira Levin
1008,Peter Straub
1009,Katherine Boo
1010,P.L. Travers
1011,Mary Shepard
1012,Sandra Cisneros
1013,David Benioff
1014,Jeaniene Frost
1015,Peter de Jonge
1016,James S.A. Corey
1017,Ezra Jack Keats
1018,Richard   Preston
1019,Lynne Truss
1020,Kim Harrison
1021,Clement C. Moore
1022,Jan Brett
1023,Cynthia Hand
1024,Lee Strobel
1025,Carl Hiaasen
1026,Virgil
1027,Robert Fitzgerald
1028,Daniel Quinn
1029,Katie McGarry
1030,Kennilworthy Whisp
1031,Harry Allard
1032,James  Marshall
1033,Richard Bachman
1034,Jerry N. Uelsmann
1035,Trenton Lee Stewart
1036,Carson Ellis
1037,Jennifer E. Smith
1038,Tom Robbins
1039,Jenna Blum
1040,Beth Revis
1041,M. Scott Peck
1042,Gertrude Chandler Warner
1043,L. Kate Deal
1044,A.S.A. Harrison
1045,Caitlin Moran
1046,Keith Richards
1047,Anita Shreve
1048,Don DeLillo
1049,Stephen E. Ambrose
1050,Charles Darwin
1051,Craig Thompson
1052,David Wroblewski
1053,Christina Schwarz
1054,Charles Bukowski
1055,Kyle Freeman
1056,Peter S. Beagle
1057,Angie Sage
1058,Terry Hayes
1059,Allen Ginsberg
1060,William Carlos Williams
1061,Richard Carlson
1062,Adam Mansbach
1063,Ricardo Cortés
1064,Téa Obreht
1065,Maria V. Snyder
1066,Joseph Smith Jr.
1067,Karin Slaughter
1068,Yana Toboso
1069,Tomo Kimura
1070,Robert Mighall
1071,Emily Seife
1072,John Bunyan
1073,Andrew R. MacAndrew
1074,Ben Marcus
1075,Carson McCullers
1076,T.H. White
1077,Christopher Paul Curtis
1078,Alison Bechdel
1079,Dan Ariely
1080,أحمد مراد
1081,Lynne Reid Banks
1082,Jesse Andrews
1083,Simon Winchester
1084,Andrew Gross
1085,Jasper Fforde
1086,Faye Perozich
1087,John Bolton
1088,Daerick Gröss
1089,Adam McCauley
1090,Dalai Lama XIV
1091,Howard C. Cutler
1092,Anna Quindlen
1093,L.J. Smith
1094,Kevin Williamson
1095,Julie Plec
1096,Chuck Klosterman
1097,Evelyn Waugh
1098,Jessie Burton
1099,Julia Cameron
1100,Joe Hill
1101,Robert K. Massie
1102,Marcus Luttrell
1103,Patrick Robinson
1104,Richard Wright
1105,Veronica Rossi
1106,Eric Ries
1107,David Eddings
1108,Roberto Aguirre-Sacasa
1109,Mike Perkins
1110,Laura       Martin
1111,William L. Shirer
1112,Jeff Smith
1113,Steve Hamaker
1114,Paz Pruneda
1115,Brian Jacques
1116,Karl Marx
1117,Friedrich Engels
1118,Gareth Stedman Jones
1119,Ruth Ware
1120,James Fenimore Cooper
1121,William Styron
1122,Bruce H. Wilkinson
1123,Karen Thompson Walker
1124,Julia Child
1125,Alex Prud'Homme
1126,Wendelin Van Draanen
1127,Travis Bradberry
1128,Jean Greaves
1129,Patrick Lencioni
1130,Robert McCloskey
1131,Douglas Preston
1132,Lincoln Child
1133,Nicola Yoon
1134,David Yoon
1135,George Bernard Shaw
1136,Louis de Bernières
1137,Adam Johnson
1138,Blake Ferris
1139,Anjali Singh
1140,Chaim Potok
1141,Irving Stone
1142,שמואל שניצר
1143,Peggy Parish
1144,Fritz Siebel
1145,Jodi Ellen Malpas
1146,W. Bruce Cameron
1147,Sabaa Tahir
1148,Helene Wecker
1149,أحلام مستغانمي
1150,Ahlam Mosteghanemi
1151,Nicola Bradbury
1152,Esphyr Slobodkina
1153,Tamora Pierce
1154,Peter Glassman
1155,Jung Chang
1156,Guillermo del Toro
1157,Chuck Hogan
1158,Emily Dickinson
1159,Thomas H. Johnson
1160,Fred Gipson
1161,Steve Martin
1162,Frank Warren
1163,Mary Norton
1164,Beth Krush
1165,Joe Krush
1166,Alexandra Bracken
1167,Norman Vincent Peale
1168,Nina Bawden
1169,Hiro Mashima
1170,William Flanagan
1171,Nate  Taylor
1172,Solomon Northup
1173,Nathaniel Philbrick
1174,Ayaan Hirsi Ali
1175,Nassim Nicholas Taleb
1176,Aleksandr Solzhenitsyn
1177,H.T. Willetts
1178,Walter M. Miller Jr.
1179,Colm Tóibín
1180,Lauren DeStefano
1181,J.D. Vance
1182,Stephen Crane
1183,Randall Munroe
1184,Steven Erikson
1185,Colson Whitehead
1186,Cora Carmack
1187,J.M. Coetzee
1188,Arnold Lobel
1189,B.A. Paris
1190,Michael Shaara
1191,Sharon M. Draper
1192,Amanda Hocking
1193,Boris Pasternak
1194,Max Hayward
1195,Manya Harari
1196,John Bayley
1197,Blake Crouch
1198,P.D. James
1199,Jane Hamilton
1200,Frank  Muller
1201,C.J. Critt
1202,O. Henry
1203,Lisbeth Zwerger
1204,Tom Wolfe
1205,William S. Burroughs
1206,James Grauerholz
1207,Barry  Miles
1208,Kelley Jones
1209,Charles Vess
1210,Colleen Doran
1211,Steve Erickson
1212,Lech Jęczmyk
1213,Maureen Johnson
1214,Lauren Myracle
1215,Atul Gawande
1216,Henrik Ibsen
1217,Michael   Meyer
1218,James A. Michener
1219,Richard Yates
1220,Rachel Cohn
1221,Tom Stoppard
1222,Henry Popkin
1223,Alex Garland
1224,Beth Hoffman
1225,Jenna Lamia
1226,Raymond E. Feist
1227,Jennifer Crusie
1228,Nelson Mandela
1229,Bryce Courtenay
1230,Dashiell Hammett
1231,Daniel Goleman
1232,Munro Leaf
1233,Robert Lawson
1234,Kiersten White
1235,Adriana Trigiani
1236,MacLeod Andrews
1237,Andre Agassi
1238,J.R. Moehringer
1239,Anthony Horowitz
1240,Richard Ferrone
1241,Daniel H. Pink
1242,Jeph Loeb
1243,Gregory Wright
1244,Richard Starkings
1245,Jean-Paul Sartre
1246,Lloyd Alexander
1247,Hayden Carruth
1248,John Eldredge
1249,Peter Ackroyd
1250,Ed Glinert
1251,Doreen Cronin
1252,Betsy Lewin
1253,Kendare Blake
1254,Dick Hill
1255,Avi
1256,Robert Goolrick
1257,Leif Enger
1258,Janette Sebring Lowrey
1259,Gustaf Tenggren
1260,Maeve Binchy
1261,Kate Jacobs
